scenario,strategy,repeat,success_rate,primary_success_rate,fallback_usage_rate,fallback_success_rate,fallback_accuracy,fallback_macro_f1,fallback_precision,fallback_recall,human_review_rate,p50,p95,p99,success_p95,scheduler_lag_p95,recovery_seconds,retry_count,rejected_count,circuit_open_seconds,requests_during_outage,primary_calls,estimated_cost_per_request
normal,A,0,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000002677004,0.046999999991385,0.046999999991385,0.046999999991385,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,B,0,1.0,1.0,0.0,0.0,,,,,0.0,0.030999999988125002,0.046999999991385,0.047000000020489006,0.046999999991385,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,C,0,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.014366666667725549,,0,0,0.0,0,120,0.001
normal,D,0,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.013666666669693002,,0,0,0.0,0,120,0.001
normal,B,1,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.047000000020489006,0.047000000020489006,0.047000000020489006,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,C,1,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.014333333333100001,,0,0,0.0,0,120,0.001
normal,D,1,1.0,1.0,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.015333333351494002,,0,0,0.0,0,120,0.001
normal,A,1,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.014333333333100001,,0,0,0.0,0,120,0.001
normal,C,2,1.0,1.0,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,D,2,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.014333333333100001,,0,0,0.0,0,120,0.001
normal,A,2,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.047000000020489006,0.047000000020489006,0.047000000020489006,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,B,2,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.013066666672626697,,0,0,0.0,0,120,0.001
normal,D,3,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.0469999999928402,0.047000000020489006,0.0469999999928402,0.013666666669693002,,0,0,0.0,0,120,0.001
normal,A,3,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.015333333351494002,,0,0,0.0,0,120,0.001
normal,B,3,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.046999999991385,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
normal,C,3,1.0,1.0,0.0,0.0,,,,,0.0,0.030999999988125002,0.03270000000629776,0.047000000020489006,0.03270000000629776,0.015333333351494002,,0,0,0.0,0,120,0.001
normal,A,4,1.0,1.0,0.0,0.0,,,,,0.0,0.030999999988125002,0.03270000000629776,0.047000000020489006,0.03270000000629776,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,B,4,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.04700000001495924,0.032000000006519,0.014333333362204001,,0,0,0.0,0,120,0.001
normal,C,4,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.047000000020489006,0.047000000020489006,0.047000000020489006,0.014333333333100001,,0,0,0.0,0,120,0.001
normal,D,4,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.03275000000576226,0.047000000020489006,0.03275000000576226,0.014333333333100001,,0,0,0.0,0,120,0.001
outage,A,0,0.6416666666666667,0.6416666666666667,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.015333333351494002,0.05000000001164118,0,0,0.0,43,120,0.001
outage,B,0,0.6916666666666667,0.6916666666666667,0.0,0.0,,,,,0.0,0.032000000006519,0.2339999999981952,0.25,0.10689999998721715,0.014333333362204001,0.03400000000838199,84,0,0.0,121,204,0.0017000000000000001
outage,C,0,0.44166666666666665,0.44166666666666665,0.0,0.0,,,,,0.0,0.015499999994062501,0.032000000006519,0.032000000006519,0.032000000006519,0.015333333351494002,0.8320000000181609,0,60,2.0,7,60,0.0005
outage,D,0,0.9083333333333333,0.44166666666666665,0.5583333333333333,0.4666666666666667,0.835820895522388,0.9073359073359074,1.0,0.8373015873015873,0.09166666666666666,0.015499999994062501,0.03275000000576226,0.046999999991385,0.032000000006519,0.015333333351494002,0.8320000000181609,0,60,2.0,7,60,0.0005
outage,B,1,0.675,0.675,0.0,0.0,,,,,0.0,0.032000000006519,0.21804999999439972,0.24714999999734574,0.032000000006519,0.01436666669537435,0.06500000002561102,82,0,0.0,121,202,0.0016833333333333333
outage,C,1,0.44166666666666665,0.44166666666666665,0.0,0.0,,,,,0.0,0.015499999994062501,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333362204001,0.8310000000288711,0,60,2.0,7,60,0.0005
outage,D,1,0.9083333333333333,0.44166666666666665,0.5583333333333333,0.4666666666666667,0.835820895522388,0.9073359073359074,1.0,0.8373015873015873,0.09166666666666666,0.015499999994062501,0.0460500000015595,0.047000000020489006,0.046000000002095004,0.013750000003783047,0.8320000000181609,0,60,2.0,7,60,0.0005
outage,A,1,0.6416666666666667,0.6416666666666667,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.046999999991385,0.046999999991385,0.013666666698797,0.05000000001164118,0,0,0.0,43,120,0.001
outage,C,2,0.44166666666666665,0.44166666666666665,0.0,0.0,,,,,0.0,0.007499999992433001,0.0469999999928402,0.047000000020489006,0.047000000020489006,0.015333333351494002,0.894000000023516,0,60,2.014999999984866,7,60,0.0005
outage,D,2,0.9083333333333333,0.44166666666666665,0.5583333333333333,0.4666666666666667,0.835820895522388,0.9073359073359074,1.0,0.8373015873015873,0.09166666666666666,0.015499999994062501,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,0.8460000000137371,0,60,2.01500000001397,7,60,0.0005
outage,A,2,0.6416666666666667,0.6416666666666667,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.047000000020489006,0.046999999991385,0.014333333333100001,0.05000000001164118,0,0,0.0,43,120,0.001
outage,B,2,0.6833333333333333,0.6833333333333333,0.0,0.0,,,,,0.0,0.032000000006519,0.21900000001187403,0.25,0.06125000000611175,0.014333333362204001,0.05000000001164118,81,0,0.0,119,201,0.001675
outage,D,3,0.9083333333333333,0.44166666666666665,0.5583333333333333,0.4666666666666667,0.835820895522388,0.9073359073359074,1.0,0.8373015873015873,0.09166666666666666,0.0079999999870775,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,0.8460000000137371,0,60,2.01500000001397,7,60,0.0005
outage,A,3,0.6583333333333333,0.6583333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.014999999996507002,0.03400000000838199,0,0,0.0,41,120,0.001
outage,B,3,0.6833333333333333,0.6833333333333333,0.0,0.0,,,,,0.0,0.032000000006519,0.21975000001111727,0.25,0.07644999998010384,0.014333333362204001,0.05000000001164118,84,0,0.0,122,204,0.0017000000000000001
outage,C,3,0.44166666666666665,0.44166666666666665,0.0,0.0,,,,,0.0,0.007499999992433001,0.046999999991385,0.046999999991385,0.046999999991385,0.014366666667725549,0.8620000000169963,0,60,2.01500000001397,7,60,0.0005
outage,A,4,0.6583333333333333,0.6583333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.046999999991385,0.047000000020489006,0.046999999994295404,0.013750000031431845,0.06600000001490125,0,0,0.0,41,120,0.001
outage,B,4,0.6833333333333333,0.6833333333333333,0.0,0.0,,,,,0.0,0.032000000006519,0.21900000001187403,0.25,0.032000000006519,0.013033333340911548,0.03500000002677517,81,0,0.0,119,201,0.001675
